                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     46,                0.55483,                 0.3482,                0.82056,                0.99399,                 0.9965,                0.99355,                0.92509,                 0.4866,                0.30418,                0.75388,              0.0007055,              0.0007055,              0.0007055
                     47,                0.52854,                0.33438,                0.82155,                0.99305,                0.99516,                0.99225,                0.92902,                0.46688,                0.30187,                0.75387,             0.00069313,             0.00069313,             0.00069313
                     48,                0.53318,                0.33274,                0.81999,                0.99456,                0.99516,                0.99413,                0.92339,                 0.4681,                0.29883,                0.75231,             0.00068075,             0.00068075,             0.00068075
                     49,                0.53194,                 0.3323,                0.82133,                0.99147,                0.99362,                0.99344,                0.93417,                0.45238,                0.30102,                0.75062,             0.00066838,             0.00066838,             0.00066838
                     50,                0.53316,                0.33295,                0.82515,                0.99399,                0.99322,                0.99382,                0.93719,                0.47686,                0.30211,                0.75136,               0.000656,               0.000656,               0.000656
                     51,                 0.5211,                0.32641,                0.81942,                0.99454,                0.99665,                0.99357,                0.93196,                 0.4681,                 0.2986,                0.75105,             0.00064362,             0.00064362,             0.00064362
                     52,                0.52652,                 0.3334,                0.81865,                0.99633,                0.99315,                0.99403,                0.94143,                0.44789,                0.28295,                0.74802,             0.00063125,             0.00063125,             0.00063125
                     53,                0.51917,                0.32391,                0.81381,                0.99519,                0.99279,                0.99437,                0.93653,                0.42769,                0.27349,                0.74819,             0.00061887,             0.00061887,             0.00061887
                     54,                0.51561,                0.32265,                0.81513,                0.99502,                0.99244,                0.99477,                0.93973,                  0.448,                0.29455,                0.74815,              0.0006065,              0.0006065,              0.0006065
                     55,                0.52129,                0.32658,                0.81871,                0.99357,                0.99296,                 0.9948,                0.93314,                0.44512,                0.28609,                0.74718,             0.00059413,             0.00059413,             0.00059413
                     56,                 0.5108,                0.32128,                  0.819,                0.99464,                0.99457,                0.99385,                0.92493,                0.48297,                0.29208,                0.75228,             0.00058175,             0.00058175,             0.00058175
                     57,                0.50118,                0.31539,                0.81469,                0.99362,                0.99573,                0.99263,                0.93405,                0.43402,                0.27673,                0.74701,             0.00056938,             0.00056938,             0.00056938
                     58,                0.51521,                 0.3183,                0.81641,                0.99495,                0.99348,                0.99485,                0.93512,                0.46639,                0.28515,                 0.7484,               0.000557,               0.000557,               0.000557
