                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     60,                0.49294,                 0.3092,                0.81426,                0.99048,                0.99558,                0.99279,                0.93358,                0.43752,                0.27746,                0.75045,             0.00051988,             0.00051988,             0.00051988
                     61,                0.49029,                 0.3048,                0.81623,                0.99345,                0.99267,                0.99456,                0.93324,                0.44645,                0.29318,                0.74988,              0.0005075,              0.0005075,              0.0005075
                     62,                0.47704,                0.29969,                0.81424,                0.99397,                0.99277,                0.99209,                0.93365,                0.43816,                0.27614,                0.74492,             0.00049513,             0.00049513,             0.00049513
                     63,                0.48394,                0.30149,                0.81045,                0.99345,                0.99575,                0.99312,                0.94524,                0.40875,                0.26939,                0.74404,             0.00048275,             0.00048275,             0.00048275
                     64,                0.47942,                0.30172,                0.81014,                0.99174,                 0.9965,                0.99197,                0.93315,                0.43621,                0.27391,                0.74669,             0.00047038,             0.00047038,             0.00047038
                     65,                0.48282,                0.30371,                0.81152,                0.99367,                  0.993,                0.99388,                0.93707,                0.44151,                0.28068,                0.74714,               0.000458,               0.000458,               0.000458
                     66,                0.48717,                0.30518,                0.81104,                0.99245,                0.99629,                 0.9922,                0.93993,                0.41761,                0.27104,                0.74527,             0.00044563,             0.00044563,             0.00044563
                     67,                0.47232,                0.29802,                0.81237,                0.99347,                 0.9965,                0.99313,                0.94447,                0.41328,                0.26749,                0.74522,             0.00043325,             0.00043325,             0.00043325
                     68,                0.46794,                0.29202,                0.80814,                0.99334,                0.99665,                0.99235,                0.94383,                0.41131,                0.25712,                0.74552,             0.00042087,             0.00042087,             0.00042087
                     69,                0.46929,                0.30142,                0.80875,                0.99039,                0.99657,                0.99255,                0.94518,                0.40976,                0.26143,                0.74454,              0.0004085,              0.0004085,              0.0004085
                     70,                0.45973,                0.29052,                0.80963,                0.99359,                0.99665,                0.99273,                0.94335,                0.40374,                0.25716,                0.74511,             0.00039613,             0.00039613,             0.00039613
                     71,                0.46127,                 0.2933,                 0.8093,                0.99317,                0.99617,                 0.9917,                0.94093,                0.40135,                0.25567,                 0.7435,             0.00038375,             0.00038375,             0.00038375
                     72,                0.45657,                 0.2854,                 0.8076,                0.99359,                 0.9964,                0.99195,                0.93735,                0.42858,                0.26248,                0.74471,             0.00037138,             0.00037138,             0.00037138
                     73,                0.45404,                0.28434,                0.80812,                0.99211,                0.99641,                0.99291,                0.94114,                0.41965,                0.26843,                0.74422,               0.000359,               0.000359,               0.000359
                     74,                0.45304,                0.28312,                   0.81,                0.99216,                0.99665,                0.99341,                0.95043,                0.38854,                0.25167,                0.74498,             0.00034663,             0.00034663,             0.00034663
                     75,                0.45224,                0.28331,                0.80781,                0.99141,                0.99537,                0.99267,                0.94778,                0.40494,                0.25947,                0.74231,             0.00033425,             0.00033425,             0.00033425
                     76,                0.45627,                 0.2832,                0.81043,                0.99209,                0.99643,                0.99314,                0.94923,                0.39033,                0.25376,                 0.7422,             0.00032188,             0.00032188,             0.00032188
                     77,                0.43812,                0.27708,                0.80492,                0.99265,                0.99665,                0.99302,                0.95103,                0.38352,                0.24743,                0.74202,              0.0003095,              0.0003095,              0.0003095
                     78,                0.44653,                0.28359,                0.80739,                0.99247,                0.99639,                0.99273,                0.94823,                0.38481,                0.24946,                0.74052,             0.00029713,             0.00029713,             0.00029713
                     79,                0.44114,                0.27927,                0.80884,                0.99248,                0.99658,                0.99368,                0.94959,                0.38796,                0.24867,                0.74149,             0.00028475,             0.00028475,             0.00028475
                     80,                0.43257,                0.27093,                0.80665,                0.99201,                0.99635,                0.99268,                 0.9504,                 0.3924,                0.24479,                0.73978,             0.00027237,             0.00027237,             0.00027237
                     81,                0.44611,                0.27601,                0.80739,                0.99253,                0.99539,                0.99293,                0.94928,                0.38904,                0.24198,                0.74005,                0.00026,                0.00026,                0.00026
                     82,                0.42984,                0.26622,                0.80685,                0.99249,                0.99638,                0.99294,                0.94315,                0.40782,                0.24969,                 0.7423,             0.00024762,             0.00024762,             0.00024762
                     83,                0.42408,                0.26858,                0.80275,                0.99369,                0.99665,                0.99269,                0.94883,                0.38335,                0.24767,                0.73969,             0.00023525,             0.00023525,             0.00023525
                     84,                0.42653,                0.26882,                0.80593,                0.99275,                0.99642,                0.99234,                0.95047,                0.38981,                0.24086,                0.73954,             0.00022288,             0.00022288,             0.00022288
                     85,                0.41434,                0.26125,                0.80263,                0.99288,                 0.9964,                 0.9922,                 0.9494,                0.38307,                0.24249,                0.73977,              0.0002105,              0.0002105,              0.0002105
                     86,                0.41782,                0.26427,                0.80393,                0.99265,                0.99665,                0.99278,                0.94633,                0.40702,                0.24538,                0.74155,             0.00019813,             0.00019813,             0.00019813
                     87,                0.41715,                 0.2615,                0.79959,                 0.9935,                0.99665,                0.99244,                0.94912,                0.37459,                0.24164,                0.73922,             0.00018575,             0.00018575,             0.00018575
                     88,                0.41063,                0.25837,                0.80181,                0.99381,                0.99665,                0.99217,                0.95476,                0.36634,                0.23709,                0.73864,             0.00017338,             0.00017338,             0.00017338
                     89,                0.40719,                0.26069,                0.80288,                0.99363,                0.99665,                 0.9921,                0.95337,                0.36932,                0.23313,                0.73849,               0.000161,               0.000161,               0.000161
                     90,                0.40383,                0.25573,                  0.801,                0.99348,                0.99656,                0.99208,                0.95015,                0.37923,                0.23585,                0.73955,             0.00014862,             0.00014862,             0.00014862
                     91,                0.42598,                0.26645,                0.81065,                 0.9935,                0.99642,                0.99229,                0.95594,                0.37187,                0.23492,                0.73981,             0.00013625,             0.00013625,             0.00013625
                     92,                0.41255,                 0.2591,                0.80876,                 0.9925,                 0.9941,                0.99193,                 0.9517,                0.37296,                0.23553,                 0.7394,             0.00012387,             0.00012387,             0.00012387
                     93,                0.40002,                0.25505,                0.80499,                0.99225,                0.99522,                0.99178,                0.95174,                0.37122,                0.23727,                0.73947,              0.0001115,              0.0001115,              0.0001115
                     94,                0.40174,                0.25289,                0.80344,                 0.9928,                0.99468,                 0.9917,                0.95279,                0.36834,                0.23149,                0.73882,             9.9125e-05,             9.9125e-05,             9.9125e-05
                     95,                0.39374,                 0.2478,                0.80353,                0.99207,                0.99673,                0.99234,                0.95388,                0.36458,                0.23337,                0.73866,              8.675e-05,              8.675e-05,              8.675e-05
                     96,                  0.391,                0.24609,                0.80551,                0.99343,                0.99519,                0.99212,                0.95386,                 0.3633,                 0.2348,                0.73905,             7.4375e-05,             7.4375e-05,             7.4375e-05
                     97,                0.38427,                0.24472,                 0.8031,                0.99055,                0.99677,                0.99203,                0.95467,                0.36507,                0.23605,                 0.7386,                6.2e-05,                6.2e-05,                6.2e-05
                     98,                0.37518,                0.24134,                0.80588,                0.99339,                0.99445,                0.99204,                0.95659,                0.35722,                0.23108,                0.73832,             4.9625e-05,             4.9625e-05,             4.9625e-05
                     99,                0.37779,                0.24172,                0.80546,                0.99128,                0.99709,                0.99215,                0.95658,                0.35375,                0.22765,                0.73755,              3.725e-05,              3.725e-05,              3.725e-05
                    100,                0.37539,                0.23876,                0.80491,                0.99193,                0.99716,                 0.9924,                  0.959,                0.35419,                0.22732,                0.73782,             2.4875e-05,             2.4875e-05,             2.4875e-05
